image_file,label_file
000000362118.jpg,000000362118.txt
000000520585.jpg,000000520585.txt
000000370401.jpg,000000370401.txt
000000268049.jpg,000000268049.txt
000000160531.jpg,000000160531.txt
000000254807.jpg,000000254807.txt
000000395340.jpg,000000395340.txt
000000432233.jpg,000000432233.txt
000000136595.jpg,000000136595.txt
000000429122.jpg,000000429122.txt
000000571516.jpg,000000571516.txt
000000576253.jpg,000000576253.txt
000000232724.jpg,000000232724.txt
000000216051.jpg,000000216051.txt
000000496657.jpg,000000496657.txt
000000286813.jpg,000000286813.txt
000000341794.jpg,000000341794.txt
000000310788.jpg,000000310788.txt
000000415420.jpg,000000415420.txt
000000501294.jpg,000000501294.txt
000000516281.jpg,000000516281.txt
000000526491.jpg,000000526491.txt
000000311808.jpg,000000311808.txt
000000285882.jpg,000000285882.txt
000000084829.jpg,000000084829.txt
000000143553.jpg,000000143553.txt
000000539313.jpg,000000539313.txt
000000579731.jpg,000000579731.txt
000000452005.jpg,000000452005.txt
000000070478.jpg,000000070478.txt
000000397575.jpg,000000397575.txt
000000553428.jpg,000000553428.txt
000000292668.jpg,000000292668.txt
000000300111.jpg,000000300111.txt
000000165658.jpg,000000165658.txt
000000092746.jpg,000000092746.txt
000000036805.jpg,000000036805.txt
000000419223.jpg,000000419223.txt
000000122355.jpg,000000122355.txt
000000505420.jpg,000000505420.txt
000000402219.jpg,000000402219.txt
000000309727.jpg,000000309727.txt
000000132776.jpg,000000132776.txt
000000421228.jpg,000000421228.txt
000000452218.jpg,000000452218.txt
000000454722.jpg,000000454722.txt
000000440762.jpg,000000440762.txt
000000063566.jpg,000000063566.txt
000000221015.jpg,000000221015.txt
000000179615.jpg,000000179615.txt
000000262951.jpg,000000262951.txt
000000235093.jpg,000000235093.txt
000000187803.jpg,000000187803.txt
000000136240.jpg,000000136240.txt
000000357290.jpg,000000357290.txt
000000221246.jpg,000000221246.txt
000000123614.jpg,000000123614.txt
000000173482.jpg,000000173482.txt
000000290684.jpg,000000290684.txt
000000245683.jpg,000000245683.txt
000000259192.jpg,000000259192.txt
000000439678.jpg,000000439678.txt
000000335909.jpg,000000335909.txt
000000225959.jpg,000000225959.txt
000000462512.jpg,000000462512.txt
000000268092.jpg,000000268092.txt
000000040891.jpg,000000040891.txt
000000349282.jpg,000000349282.txt
000000561145.jpg,000000561145.txt
000000511402.jpg,000000511402.txt
000000541596.jpg,000000541596.txt
000000324513.jpg,000000324513.txt
000000392632.jpg,000000392632.txt
000000330065.jpg,000000330065.txt
000000168349.jpg,000000168349.txt
000000331702.jpg,000000331702.txt
000000186227.jpg,000000186227.txt
000000179238.jpg,000000179238.txt
000000361359.jpg,000000361359.txt
000000116341.jpg,000000116341.txt
000000580057.jpg,000000580057.txt
000000219848.jpg,000000219848.txt
000000317461.jpg,000000317461.txt
000000561352.jpg,000000561352.txt
000000360878.jpg,000000360878.txt
000000194277.jpg,000000194277.txt
000000115042.jpg,000000115042.txt
000000262065.jpg,000000262065.txt
000000350675.jpg,000000350675.txt
000000226162.jpg,000000226162.txt
000000284701.jpg,000000284701.txt
000000182411.jpg,000000182411.txt
000000411561.jpg,000000411561.txt
000000022291.jpg,000000022291.txt
000000575835.jpg,000000575835.txt
000000565460.jpg,000000565460.txt
000000267649.jpg,000000267649.txt
000000239575.jpg,000000239575.txt
000000142698.jpg,000000142698.txt
000000535528.jpg,000000535528.txt
